id,cardName,iconimg,effectld,description,joke
1,추진력,icon_144,1,대쉬를 한 후 다음 첫번째 공격의 대미지가 상승합니다.,.
2,짧은다리,icon_326,2 4,대쉬길이가 반이 되는대신 소모 스테미너가 25%로 감소합니다,.
3,긴다리,icon_306,3 5,대쉬길이가 1.5배 증가하는대신 스테미너 소모가 2배 증가합니다,.
4,빠른발,icon_212,6 7,대쉬 속도가 증가하고 대쉬하는동안 대미지를 받지 않습니다.,.
5,탐험가,icon_10,8,구역의 미니맵이 밝혀집니다,.
6,딜리버리서비스,icon_136,9,상점의 등장확률이 증가합니다,.
7,두둑한 주머니,icon_104,10,골드의 획득률이 증가합니다,.
8,숙련된 경험,icon_108,11,획득 경험치량이 증가합니다,.
9,엑스트라 코인,icon_82,12,치명적인 부상을 입어도 1회 부활합니다.,.
10,신속한 발걸음,icon_159,13,플레이어의 이속이 증가합니다,.
11,전투호흡,icon_281,15,스테미너 회복속도가 증가합니다,.
12,날카로운 공격,icon_281,15,공격력이 증가합니다,.
13,연속공격,icon_73,16 17,연속한 3번째 공격은 대미지가 증가합니다,.
14,콤보어택,icon_75,16 18 19,연속하여 공격할수록 대미지가 점점 상승하지만 기본 공격력이 하락합니다,.
15,기회주의자,icon_58,20,상태이상의 적을 공격할때 대미지가 상승합니다,.
16,마무리일격,icon_55,21,체력이 낮은 적을 공격할때 대미지가 상승합니다,.
17,다중타격,icon_33,22,많은수의 적을 공격할수록 대미지가 상승합니다,.
18,침착한 공격,icon_31,23,일정시간동안 대미지를 입지않으면 공격력이 상승합니다,.
19,살육역량,icon_84,24,적을 처지하면 일정시간동안 대미지가 상승합니다,.
20,공간확보,icon_243,25,적과 거리가 멀수록 대미지가 상승하지만 근접했을때 대미지가 하락합니다,.
21,준비만전,icon_330,26,최대체력일때 대미지가 상승합니다,.
22,경직공격,icon_169,27,공격시 경직확률이 증가합니다,.
23,기절공격,icon_170,28,공격시 기절확률이 증가합니다,.
24,넉백공격,icon_171,29,공격시 넉백거리가 증가합니다,.
25,콤보어택,icon_32,30,스킬을 사용한후 평타가 1회 강화됩니다,.
26,초면제압,icon_135,31,80%체력 이상의 적에게 대미지가 상승합니다,.
27,가드업,icon_280,32,방어력이 증가합니다,.
28,균형유지,icon_190,33,상태이상 저항이 증가합니다,.
29,돌머리,icon_308,34 35,피격시 일정확률로 적이 기절합니다,.
30,가시갑옷,icon_369,34 36,피격시 일정확률로 대미지를 반사합니다,.
31,반응장갑,icon_101,34 37,피격시 일정확률로 적이 넉백됩니다,.
32,피격분노,icon_181,34 38,피격시 일정시간동안 공격력이 상승합니다,.
33,패기,icon_243,39,일정반경의 적에게 지속적으로 대미지를 줍니다,.
34,허약한 체력,icon_231,34 40,피격시 스테미너가 감소합니다,.
35,구멍난 주머니,icon_110,34 41,피격시 골드가 감소합니다,.
36,피에서금을,icon_104,34 42,피격시 골드를 획득합니다,.
37,광란,icon_49,34 43,피격시 스테미너가 상승합니다,.
38,죽창,icon_130,44,플레이어와 몬스터 모두 공격력이 상승합니다,.
39,편식(1),icon_361,47 50 52,1스킬이 강화되지만 다른 스킬대미지가 감소합니다,.
40,편식(2),icon_362,49 48 52,2스킬이 강화되지만 다른 스킬대미지가 감소합니다,.
41,편식(3),icon_363,51 48 50,3스킬이 강화되지만 다른 스킬대미지가 감소합니다,.
42,편식(기본공격),icon_383,45 48 50 52,평타가 강화되지만 다른 스킬대미지가 감소합니다,.
43,분노폭발,icon_375,53,공격력이 증가하지만 받는 대미지도 증가합니다,.
44,작은하마,icon_433,54 55,몬스터의 생명력이 감소하지만 공격력이 증가합니다,.
45,장갑해제,icon_291,56 57,몬스터의 방어력이 감소하지만 상태저항이 증가합니다,.
46,가벼운갑옷,icon_356,58 59,회피 소모 스테미너가 줄어들지만 받는대미지가 증가합니다,.
47,성급한손,icon_345,60 61,스킬 쿨타임이 줄어들지만 받는대미지가 증가합니다,.
48,피의 대가,icon_393,59 61,몬스터를 처지할때마다 체력을 회복하지만 받는대미지가 증가합니다,.
49,튼튼껍질,icon_417,67 68,방어력이 증가하지만 공격력이 감소합니다,.
50,전염병,icon_197,63,플레이어와 몬스터 모두 방어력이 하락합니다,.
51,주문제작,icon_137,64 65,상점이 반드시 출현하지만 가격이 상승합니다,.
52,빈사질주,icon_408,66,플레이어와 몬스터 모두 체력이 낮을수록 이동속도가 상승합니다,.
