Conv_ID,NPC_ID,Conv_Number,Conv_Type,texts,부모퀘스트,유형,,,,,
sc_00149,113,1,Normal,113$신성한 카드들을 한 줄로 나열하면 은혜를 더 받을 수 있다는 거! 알고 있어?,-1,Start,,,,,
sc_00148,113,1,Normal,113$완드는 정말 대단해!! 화려하고\a 멋지고\a 엘레강스하고\a 아름다우면서도\a 강력하잖아!_113$나는 이 세상 사람들이 완드의 이 멋짐을 알아줬으면 좋겠어!,-1,Progress,,,,,
sc_00147,112,1,Normal,112$형씨! 오늘도 던전 탐험인가?,-1,Normal,,,,,
sc_00146,111,1,Normal,111$상점이 너무 다양해서 어딜 선택해야 할지 모르겠어..,-1,End,,,,,
sc_00093,110,1,Normal,110$뭐 살 물건이라도 있어?,-1,Start,,,,,
sc_00145,108,1,Normal,108$하루도 빠짐없는 꾸준한 훈련은 육체뿐만이 아닌 마음까지도 건강하게 해줍니다.,-1,progress,,,,,
sc_00144,107,1,Normal,107$뭘 뚫어지게 쳐다보는 거야? 갈 길 가!,-1,Normal,,,,,
sc_00143,106,1,Normal,106$좋은 물건 있나? 정보도 좋고… 내가 그런 것을 잘 취급하는 데 말이야..,-1,End,,,,,
sc_00142,105,1,Normal,105$수고가 많으십니다\a 모험가님.,-1,Normal,,,,,
sc_00141,104,1,Normal,104$곤란하네\a 곤란해.. 이걸 들키지 않고 어떻게 처리한담..,-1,Normal,,,,,
sc_00140,103,1,Normal,998$지금은 퀘스트가 존재하지 않는다.,-1,Start,,,,,
sc_00090,102,1,Normal,102$허허… 거대한 별무리 사이에서의 작은 혼란이라니… 좋지 않구만 그래.,-1,Progress,,,,,
sc_00082,101,2,Normal,101$거래할 것이라도 있나? 내 흔쾌히 받아주지!,-1,Normal,,,,,
sc_00078,101,1,Normal,101$우리를 얕보면 어떻게 되는지 똑똑히 보여주라고!,-1,Progress,,,,,
sc_00083,100,2,Normal,100$뭔가 모험가? 미안하지만 자네와 얘기할 시간이 없다네._100$자네 혹시…._100$아니네. 아무튼 지금 모험가를 상대할 여력이 없어. 다음에 다시와라.,-1,Normal,,,,,
sc_00059,100,1,Normal,100$무슨 용무라도 있나?,-1,End,,,,,
sc_00060,100,3,Quest,100$던전을 탐사하고 돌아온 것 같군._100$어떤가. 원인을 밝혀냈나?_998$(암시장의 흔적을 발견했다.)_100$암시장의 흔적을 발견했다고?_System$카인은 Player가 건넨 징표를 받아들고 살펴보았다._100$이건 확실히 암시장의 흔적이군._100$뻔뻔하게 왕국 아래의 던전에서 나온 물건을 몰래 매입해가는 주제에 이런 더러운 방법까지 사용하다니._100$더러운 시궁창 녀석들을 제제할 명목이 하나 생겼군._100$고맙네 모험가. 보상은 군수계원인 니콜 케빈스에게서 받아가게._100$왕국을 대표해서 자네에게 감사인사를 전하지. 진상을 파악하는데 도와줘서 고맙네.,100_001,End,,,,,
